Filename,Labels
1597.jpg,street
0947.jpg,glacier
1165.jpg,glacier
3335.jpg,mountain
1995.jpg,glacier
0703.jpg,mountain
3351.jpg,street
1329.jpg,mountain
2236.jpg,forest
1349.jpg,forest
1508.jpg,mountain
1060.jpg,mountain
0361.jpg,mountain
0939.jpg,buildings
2015.jpg,buildings
1615.jpg,forest
1812.jpg,mountain
2383.jpg,buildings
0073.jpg,glacier
0969.jpg,forest
1562.jpg,buildings
0589.jpg,glacier
2973.jpg,forest
0330.jpg,buildings
3171.jpg,sea
2022.jpg,glacier
1175.jpg,street
2259.jpg,street
1125.jpg,glacier
1904.jpg,glacier
1436.jpg,street
3144.jpg,street
3116.jpg,buildings
0786.jpg,street
0051.jpg,forest
0962.jpg,sea
2799.jpg,glacier
3055.jpg,mountain
3279.jpg,sea
1596.jpg,glacier
1566.jpg,forest
1296.jpg,sea
0502.jpg,street
1545.jpg,street
3388.jpg,glacier
1122.jpg,street
2650.jpg,glacier
1186.jpg,street
2146.jpg,sea
1900.jpg,sea
2748.jpg,buildings
3014.jpg,sea
0007.jpg,street
2815.jpg,mountain
0174.jpg,forest
2110.jpg,glacier
2251.jpg,street
2475.jpg,sea
0510.jpg,forest
0879.jpg,street
2634.jpg,street
1951.jpg,mountain
1191.jpg,mountain
0234.jpg,sea
2437.jpg,sea
0996.jpg,forest
2478.jpg,mountain
1343.jpg,forest
1240.jpg,forest
0662.jpg,forest
0013.jpg,sea
3293.jpg,sea
1748.jpg,mountain
2841.jpg,street
2168.jpg,forest
1782.jpg,glacier
2411.jpg,buildings
3092.jpg,forest
0643.jpg,street
0307.jpg,mountain
0482.jpg,forest
2610.jpg,mountain
2967.jpg,mountain
1509.jpg,buildings
1961.jpg,mountain
2681.jpg,glacier
0018.jpg,buildings
3033.jpg,street
3218.jpg,street
0010.jpg,mountain
1337.jpg,street
2607.jpg,forest
1893.jpg,buildings
1458.jpg,street
0640.jpg,sea
0676.jpg,street
2482.jpg,forest
0334.jpg,sea
2788.jpg,sea
2834.jpg,buildings
0376.jpg,mountain
0598.jpg,street
1411.jpg,sea
2386.jpg,mountain
2937.jpg,forest
0671.jpg,forest
0503.jpg,forest
1874.jpg,glacier
1485.jpg,glacier
1416.jpg,mountain
2909.jpg,sea
3219.jpg,mountain
1344.jpg,buildings
1123.jpg,street
1591.jpg,street
2117.jpg,buildings
0271.jpg,glacier
1376.jpg,street
2595.jpg,mountain
2774.jpg,buildings
0294.jpg,buildings
2822.jpg,mountain
2030.jpg,forest
2471.jpg,buildings
0961.jpg,mountain
2707.jpg,mountain
0989.jpg,mountain
2369.jpg,street
3382.jpg,sea
1315.jpg,glacier
0748.jpg,mountain
1267.jpg,street
3098.jpg,glacier
2011.jpg,mountain
0742.jpg,forest
1051.jpg,sea
2187.jpg,glacier
2096.jpg,glacier
1750.jpg,glacier
1757.jpg,sea
2497.jpg,forest
2882.jpg,forest
0885.jpg,mountain
2535.jpg,buildings
2047.jpg,buildings
2636.jpg,mountain
3257.jpg,mountain
0945.jpg,street
2918.jpg,buildings
3269.jpg,forest
2184.jpg,forest
1805.jpg,mountain
0673.jpg,glacier
2050.jpg,buildings
0807.jpg,glacier
2002.jpg,street
1467.jpg,forest
2231.jpg,mountain
1300.jpg,mountain
0874.jpg,forest
0302.jpg,mountain
0842.jpg,forest
0644.jpg,sea
2905.jpg,street
1426.jpg,sea
0852.jpg,mountain
2425.jpg,buildings
1358.jpg,sea
2735.jpg,glacier
3281.jpg,mountain
1820.jpg,buildings
2613.jpg,street
0889.jpg,forest
1270.jpg,forest
2877.jpg,glacier
1777.jpg,sea
3010.jpg,sea
0239.jpg,sea
2072.jpg,glacier
0684.jpg,street
3232.jpg,sea
3090.jpg,mountain
1848.jpg,mountain
3114.jpg,forest
1256.jpg,glacier
0913.jpg,street
0034.jpg,mountain
2893.jpg,street
1694.jpg,glacier
0686.jpg,street
1160.jpg,forest
0437.jpg,mountain
0153.jpg,glacier
1333.jpg,street
2769.jpg,forest
1808.jpg,street
3354.jpg,forest
3267.jpg,mountain
1920.jpg,mountain
0101.jpg,glacier
1882.jpg,glacier
1946.jpg,sea
0731.jpg,glacier
0867.jpg,sea
0284.jpg,buildings
0093.jpg,buildings
2749.jpg,street
1277.jpg,glacier
2586.jpg,street
1176.jpg,forest
2688.jpg,glacier
0175.jpg,sea
0055.jpg,forest
0064.jpg,sea
0759.jpg,sea
2341.jpg,street
2896.jpg,sea
0303.jpg,glacier
0106.jpg,forest
1749.jpg,mountain
3283.jpg,forest
2252.jpg,sea
3021.jpg,buildings
2034.jpg,glacier
0750.jpg,glacier
2568.jpg,forest
2855.jpg,buildings
0610.jpg,forest
1824.jpg,street
0894.jpg,street
2584.jpg,sea
1528.jpg,sea
0086.jpg,forest
